video_id,neg,neu,pos,total_tokens,chunk_count
JMo_jrqDuss,-1.35124862,0.66330671,0.65903330,325,1
N5rFro19aTg,-1.21554441,0.76353936,0.35193619,1046,3
dcPam0JvgAs,-0.74651865,0.58628007,0.05140533,859,2
e2vX3ON5HOE,-0.93461433,0.53453295,0.24322726,1012,2
fbakHsKTJoQ,-0.38010949,-0.13569318,0.52190429,174,1
hvCT75M9_zM,-2.19262838,0.28197563,2.01155782,348,1
Ae-MVoAzkc4,-0.68689021,0.92276143,-0.42462114,1322,3
4DY6SjElZkg,-2.27855962,0.65909488,1.63923886,1234,3
jXg6M8EeVjc,-1.25415134,0.38500416,0.70589191,105,1
JESU6969hv8,-0.36356398,0.65398633,-0.52202743,314,1
PQ-Y_sKjao4,-0.72332418,0.93257230,-0.40528399,1089,3
J6uT1_u7YAE,-0.59729332,0.67738348,-0.17873209,1203,3
oFK6Bvz5hK8,-0.96988279,0.97544103,-0.21381845,1440,3
HJpZ_K71kuQ,-0.84204072,1.17351748,-0.65440720,1441,3
pEk36hPWQsE,-1.80964804,0.82066303,0.94854611,240,1
f9GMiGdLi-Q,-2.44343662,0.95434040,1.40238798,452,1
qE0KTN3FFl0,-0.68208904,0.53990596,0.10783578,1464,3
4obNaBpIVrs,-0.26760925,0.84227808,-0.83989702,965,2
T_n2k9pRI4w,-2.00047090,0.39359562,1.80770182,1040,3
XFphd4B_eGk,-0.69537843,0.45809931,0.21332026,6631,14
IisuctpXLcc,-2.91071439,-0.40931249,3.81524968,267,1
sFK8cXvkbtg,-0.09340553,0.21263853,-0.36697844,300,1
o7wgNsB6A0o,-0.41481711,0.89014627,-0.69597223,1924,4
r1-7kuzmwfU,-2.54000449,-0.32843465,3.21583605,101,1
spixKz5lMTs,-2.36277366,1.06152391,1.25834751,384,1
oXOhire1tUo,-2.40466105,1.01959713,1.33920835,947,2
90GFbQW0_6M,-0.88978747,0.57134846,0.26488845,952,2
kgazvzJJXf0,-2.30162555,0.79217361,1.43883254,604,2
566upUFGQY0,0.66998274,0.55983812,-1.39090270,1209,3
